workload,mode,block,wall_ms,peak_rss_kb,ast_sha256
normal,equiv-A,-1,116.551,9440,f07af1be8351c90460da015ae886676f72ffc1b9a971c7ddb3b38009af5beeb9
normal,equiv-B,-1,125.069,9444,f07af1be8351c90460da015ae886676f72ffc1b9a971c7ddb3b38009af5beeb9
relational,equiv-A,-1,1779.134,18076,05532f0497bb610e5a45951aa946895932f2d753e00b01a390d43425d694eb08
relational,equiv-B,-1,200.032,19576,05532f0497bb610e5a45951aa946895932f2d753e00b01a390d43425d694eb08
comma-relational,equiv-A,-1,540.145,21348,07d4fbf55548b118c0bc21a6a76396991c30f2e3aab1e93fb1948a8d30a10a09
comma-relational,equiv-B,-1,114.170,22064,07d4fbf55548b118c0bc21a6a76396991c30f2e3aab1e93fb1948a8d30a10a09
normal,AA-A1,0,63.696,9704,f07af1be8351c90460da015ae886676f72ffc1b9a971c7ddb3b38009af5beeb9
normal,AA-A2,0,65.940,9704,f07af1be8351c90460da015ae886676f72ffc1b9a971c7ddb3b38009af5beeb9
normal,AA-A1,1,64.428,9704,f07af1be8351c90460da015ae886676f72ffc1b9a971c7ddb3b38009af5beeb9
normal,AA-A2,1,63.959,9704,f07af1be8351c90460da015ae886676f72ffc1b9a971c7ddb3b38009af5beeb9
normal,AA-A1,2,63.458,9704,f07af1be8351c90460da015ae886676f72ffc1b9a971c7ddb3b38009af5beeb9
normal,AA-A2,2,63.275,9704,f07af1be8351c90460da015ae886676f72ffc1b9a971c7ddb3b38009af5beeb9
normal,AA-A1,3,63.480,9704,f07af1be8351c90460da015ae886676f72ffc1b9a971c7ddb3b38009af5beeb9
normal,AA-A2,3,63.682,9704,f07af1be8351c90460da015ae886676f72ffc1b9a971c7ddb3b38009af5beeb9
normal,AA-A1,4,63.282,9708,f07af1be8351c90460da015ae886676f72ffc1b9a971c7ddb3b38009af5beeb9
normal,AA-A2,4,64.444,9708,f07af1be8351c90460da015ae886676f72ffc1b9a971c7ddb3b38009af5beeb9
normal,AA-A1,5,64.386,9708,f07af1be8351c90460da015ae886676f72ffc1b9a971c7ddb3b38009af5beeb9
normal,AA-A2,5,63.612,9708,f07af1be8351c90460da015ae886676f72ffc1b9a971c7ddb3b38009af5beeb9
relational,AA-A1,0,1213.827,18188,05532f0497bb610e5a45951aa946895932f2d753e00b01a390d43425d694eb08
relational,AA-A2,0,1237.461,18104,05532f0497bb610e5a45951aa946895932f2d753e00b01a390d43425d694eb08
relational,AA-A1,1,1237.621,17944,05532f0497bb610e5a45951aa946895932f2d753e00b01a390d43425d694eb08
relational,AA-A2,1,1531.654,18188,05532f0497bb610e5a45951aa946895932f2d753e00b01a390d43425d694eb08
relational,AA-A1,2,1230.189,18104,05532f0497bb610e5a45951aa946895932f2d753e00b01a390d43425d694eb08
relational,AA-A2,2,1220.268,18100,05532f0497bb610e5a45951aa946895932f2d753e00b01a390d43425d694eb08
relational,AA-A1,3,1222.453,18024,05532f0497bb610e5a45951aa946895932f2d753e00b01a390d43425d694eb08
relational,AA-A2,3,1215.430,18120,05532f0497bb610e5a45951aa946895932f2d753e00b01a390d43425d694eb08
relational,AA-A1,4,1229.455,18068,05532f0497bb610e5a45951aa946895932f2d753e00b01a390d43425d694eb08
relational,AA-A2,4,1216.613,18160,05532f0497bb610e5a45951aa946895932f2d753e00b01a390d43425d694eb08
relational,AA-A1,5,1236.431,18128,05532f0497bb610e5a45951aa946895932f2d753e00b01a390d43425d694eb08
relational,AA-A2,5,1242.056,18060,05532f0497bb610e5a45951aa946895932f2d753e00b01a390d43425d694eb08
comma-relational,AA-A1,0,534.484,21224,07d4fbf55548b118c0bc21a6a76396991c30f2e3aab1e93fb1948a8d30a10a09
comma-relational,AA-A2,0,540.236,21236,07d4fbf55548b118c0bc21a6a76396991c30f2e3aab1e93fb1948a8d30a10a09
comma-relational,AA-A1,1,542.830,21364,07d4fbf55548b118c0bc21a6a76396991c30f2e3aab1e93fb1948a8d30a10a09
comma-relational,AA-A2,1,535.761,21040,07d4fbf55548b118c0bc21a6a76396991c30f2e3aab1e93fb1948a8d30a10a09
comma-relational,AA-A1,2,540.360,21264,07d4fbf55548b118c0bc21a6a76396991c30f2e3aab1e93fb1948a8d30a10a09
comma-relational,AA-A2,2,537.541,21252,07d4fbf55548b118c0bc21a6a76396991c30f2e3aab1e93fb1948a8d30a10a09
comma-relational,AA-A1,3,530.931,21292,07d4fbf55548b118c0bc21a6a76396991c30f2e3aab1e93fb1948a8d30a10a09
comma-relational,AA-A2,3,535.434,21032,07d4fbf55548b118c0bc21a6a76396991c30f2e3aab1e93fb1948a8d30a10a09
comma-relational,AA-A1,4,534.639,21272,07d4fbf55548b118c0bc21a6a76396991c30f2e3aab1e93fb1948a8d30a10a09
comma-relational,AA-A2,4,538.751,21280,07d4fbf55548b118c0bc21a6a76396991c30f2e3aab1e93fb1948a8d30a10a09
comma-relational,AA-A1,5,537.809,21252,07d4fbf55548b118c0bc21a6a76396991c30f2e3aab1e93fb1948a8d30a10a09
comma-relational,AA-A2,5,539.053,21364,07d4fbf55548b118c0bc21a6a76396991c30f2e3aab1e93fb1948a8d30a10a09
normal,ABBA-A1,0,64.071,9456,f07af1be8351c90460da015ae886676f72ffc1b9a971c7ddb3b38009af5beeb9
normal,ABBA-B1,0,68.285,9712,f07af1be8351c90460da015ae886676f72ffc1b9a971c7ddb3b38009af5beeb9
normal,ABBA-B2,0,69.060,9712,f07af1be8351c90460da015ae886676f72ffc1b9a971c7ddb3b38009af5beeb9
normal,ABBA-A2,0,64.006,9712,f07af1be8351c90460da015ae886676f72ffc1b9a971c7ddb3b38009af5beeb9
normal,ABBA-A1,1,64.668,9456,f07af1be8351c90460da015ae886676f72ffc1b9a971c7ddb3b38009af5beeb9
normal,ABBA-B1,1,68.183,9712,f07af1be8351c90460da015ae886676f72ffc1b9a971c7ddb3b38009af5beeb9
normal,ABBA-B2,1,67.772,9716,f07af1be8351c90460da015ae886676f72ffc1b9a971c7ddb3b38009af5beeb9
normal,ABBA-A2,1,63.350,9716,f07af1be8351c90460da015ae886676f72ffc1b9a971c7ddb3b38009af5beeb9
normal,ABBA-A1,2,64.800,9464,f07af1be8351c90460da015ae886676f72ffc1b9a971c7ddb3b38009af5beeb9
normal,ABBA-B1,2,70.221,9468,f07af1be8351c90460da015ae886676f72ffc1b9a971c7ddb3b38009af5beeb9
normal,ABBA-B2,2,70.287,9468,f07af1be8351c90460da015ae886676f72ffc1b9a971c7ddb3b38009af5beeb9
normal,ABBA-A2,2,66.582,9468,f07af1be8351c90460da015ae886676f72ffc1b9a971c7ddb3b38009af5beeb9
normal,ABBA-A1,3,65.811,9468,f07af1be8351c90460da015ae886676f72ffc1b9a971c7ddb3b38009af5beeb9
normal,ABBA-B1,3,73.167,9468,f07af1be8351c90460da015ae886676f72ffc1b9a971c7ddb3b38009af5beeb9
normal,ABBA-B2,3,68.828,9724,f07af1be8351c90460da015ae886676f72ffc1b9a971c7ddb3b38009af5beeb9
normal,ABBA-A2,3,66.141,9468,f07af1be8351c90460da015ae886676f72ffc1b9a971c7ddb3b38009af5beeb9
normal,ABBA-A1,4,66.771,9468,f07af1be8351c90460da015ae886676f72ffc1b9a971c7ddb3b38009af5beeb9
normal,ABBA-B1,4,104.930,9724,f07af1be8351c90460da015ae886676f72ffc1b9a971c7ddb3b38009af5beeb9
normal,ABBA-B2,4,72.527,9468,f07af1be8351c90460da015ae886676f72ffc1b9a971c7ddb3b38009af5beeb9
normal,ABBA-A2,4,70.523,9468,f07af1be8351c90460da015ae886676f72ffc1b9a971c7ddb3b38009af5beeb9
normal,ABBA-A1,5,65.841,9468,f07af1be8351c90460da015ae886676f72ffc1b9a971c7ddb3b38009af5beeb9
normal,ABBA-B1,5,69.500,9724,f07af1be8351c90460da015ae886676f72ffc1b9a971c7ddb3b38009af5beeb9
normal,ABBA-B2,5,69.519,9724,f07af1be8351c90460da015ae886676f72ffc1b9a971c7ddb3b38009af5beeb9
normal,ABBA-A2,5,80.765,9468,f07af1be8351c90460da015ae886676f72ffc1b9a971c7ddb3b38009af5beeb9
relational,ABBA-A1,0,1239.414,18060,05532f0497bb610e5a45951aa946895932f2d753e00b01a390d43425d694eb08
relational,ABBA-B1,0,202.659,19576,05532f0497bb610e5a45951aa946895932f2d753e00b01a390d43425d694eb08
relational,ABBA-B2,0,205.753,19580,05532f0497bb610e5a45951aa946895932f2d753e00b01a390d43425d694eb08
relational,ABBA-A2,0,1222.905,18116,05532f0497bb610e5a45951aa946895932f2d753e00b01a390d43425d694eb08
relational,ABBA-A1,1,1241.901,18176,05532f0497bb610e5a45951aa946895932f2d753e00b01a390d43425d694eb08
relational,ABBA-B1,1,203.995,19584,05532f0497bb610e5a45951aa946895932f2d753e00b01a390d43425d694eb08
relational,ABBA-B2,1,202.879,19508,05532f0497bb610e5a45951aa946895932f2d753e00b01a390d43425d694eb08
relational,ABBA-A2,1,1226.397,18120,05532f0497bb610e5a45951aa946895932f2d753e00b01a390d43425d694eb08
relational,ABBA-A1,2,1245.044,18092,05532f0497bb610e5a45951aa946895932f2d753e00b01a390d43425d694eb08
relational,ABBA-B1,2,200.167,19580,05532f0497bb610e5a45951aa946895932f2d753e00b01a390d43425d694eb08
relational,ABBA-B2,2,201.457,19580,05532f0497bb610e5a45951aa946895932f2d753e00b01a390d43425d694eb08
relational,ABBA-A2,2,1261.540,18096,05532f0497bb610e5a45951aa946895932f2d753e00b01a390d43425d694eb08
relational,ABBA-A1,3,1217.895,18072,05532f0497bb610e5a45951aa946895932f2d753e00b01a390d43425d694eb08
relational,ABBA-B1,3,203.249,19520,05532f0497bb610e5a45951aa946895932f2d753e00b01a390d43425d694eb08
relational,ABBA-B2,3,204.428,19580,05532f0497bb610e5a45951aa946895932f2d753e00b01a390d43425d694eb08
relational,ABBA-A2,3,1248.772,17964,05532f0497bb610e5a45951aa946895932f2d753e00b01a390d43425d694eb08
relational,ABBA-A1,4,1247.193,18072,05532f0497bb610e5a45951aa946895932f2d753e00b01a390d43425d694eb08
relational,ABBA-B1,4,203.874,19580,05532f0497bb610e5a45951aa946895932f2d753e00b01a390d43425d694eb08
relational,ABBA-B2,4,204.544,19580,05532f0497bb610e5a45951aa946895932f2d753e00b01a390d43425d694eb08
relational,ABBA-A2,4,1241.119,18100,05532f0497bb610e5a45951aa946895932f2d753e00b01a390d43425d694eb08
relational,ABBA-A1,5,1234.003,18112,05532f0497bb610e5a45951aa946895932f2d753e00b01a390d43425d694eb08
relational,ABBA-B1,5,199.321,19576,05532f0497bb610e5a45951aa946895932f2d753e00b01a390d43425d694eb08
relational,ABBA-B2,5,202.524,19576,05532f0497bb610e5a45951aa946895932f2d753e00b01a390d43425d694eb08
relational,ABBA-A2,5,1241.590,18028,05532f0497bb610e5a45951aa946895932f2d753e00b01a390d43425d694eb08
comma-relational,ABBA-A1,0,573.325,21296,07d4fbf55548b118c0bc21a6a76396991c30f2e3aab1e93fb1948a8d30a10a09
comma-relational,ABBA-B1,0,115.750,22148,07d4fbf55548b118c0bc21a6a76396991c30f2e3aab1e93fb1948a8d30a10a09
comma-relational,ABBA-B2,0,116.068,21968,07d4fbf55548b118c0bc21a6a76396991c30f2e3aab1e93fb1948a8d30a10a09
comma-relational,ABBA-A2,0,535.819,21284,07d4fbf55548b118c0bc21a6a76396991c30f2e3aab1e93fb1948a8d30a10a09
comma-relational,ABBA-A1,1,537.268,21248,07d4fbf55548b118c0bc21a6a76396991c30f2e3aab1e93fb1948a8d30a10a09
comma-relational,ABBA-B1,1,115.593,22248,07d4fbf55548b118c0bc21a6a76396991c30f2e3aab1e93fb1948a8d30a10a09
comma-relational,ABBA-B2,1,114.734,22032,07d4fbf55548b118c0bc21a6a76396991c30f2e3aab1e93fb1948a8d30a10a09
comma-relational,ABBA-A2,1,555.360,21108,07d4fbf55548b118c0bc21a6a76396991c30f2e3aab1e93fb1948a8d30a10a09
comma-relational,ABBA-A1,2,534.925,21252,07d4fbf55548b118c0bc21a6a76396991c30f2e3aab1e93fb1948a8d30a10a09
comma-relational,ABBA-B1,2,116.168,22032,07d4fbf55548b118c0bc21a6a76396991c30f2e3aab1e93fb1948a8d30a10a09
comma-relational,ABBA-B2,2,113.681,22032,07d4fbf55548b118c0bc21a6a76396991c30f2e3aab1e93fb1948a8d30a10a09
comma-relational,ABBA-A2,2,539.601,21280,07d4fbf55548b118c0bc21a6a76396991c30f2e3aab1e93fb1948a8d30a10a09
comma-relational,ABBA-A1,3,538.117,21128,07d4fbf55548b118c0bc21a6a76396991c30f2e3aab1e93fb1948a8d30a10a09
comma-relational,ABBA-B1,3,115.438,22032,07d4fbf55548b118c0bc21a6a76396991c30f2e3aab1e93fb1948a8d30a10a09
comma-relational,ABBA-B2,3,115.014,22192,07d4fbf55548b118c0bc21a6a76396991c30f2e3aab1e93fb1948a8d30a10a09
