workload,phase,block,rep,binary,wall_ms,peak_rss_kib,output_sha256
declarations,warmup,0,1,A,1371.971380,72460,5570548be961c99cc91ecc9f8673b17f535423ac629397f9b3cb6f64589fa0b9
declarations,warmup,0,1,B,1274.640650,62392,5570548be961c99cc91ecc9f8673b17f535423ac629397f9b3cb6f64589fa0b9
declarations,AA,1,1,A,828.603026,72524,5570548be961c99cc91ecc9f8673b17f535423ac629397f9b3cb6f64589fa0b9
declarations,AA,1,2,A,832.089201,72560,5570548be961c99cc91ecc9f8673b17f535423ac629397f9b3cb6f64589fa0b9
declarations,AA,2,1,A,836.673675,72560,5570548be961c99cc91ecc9f8673b17f535423ac629397f9b3cb6f64589fa0b9
declarations,AA,2,2,A,858.888842,72476,5570548be961c99cc91ecc9f8673b17f535423ac629397f9b3cb6f64589fa0b9
declarations,AA,3,1,A,851.252861,72480,5570548be961c99cc91ecc9f8673b17f535423ac629397f9b3cb6f64589fa0b9
declarations,AA,3,2,A,820.538176,72580,5570548be961c99cc91ecc9f8673b17f535423ac629397f9b3cb6f64589fa0b9
declarations,AA,4,1,A,819.845187,72452,5570548be961c99cc91ecc9f8673b17f535423ac629397f9b3cb6f64589fa0b9
declarations,AA,4,2,A,817.212541,72644,5570548be961c99cc91ecc9f8673b17f535423ac629397f9b3cb6f64589fa0b9
declarations,AA,5,1,A,831.143890,72588,5570548be961c99cc91ecc9f8673b17f535423ac629397f9b3cb6f64589fa0b9
declarations,AA,5,2,A,816.237276,72452,5570548be961c99cc91ecc9f8673b17f535423ac629397f9b3cb6f64589fa0b9
declarations,AA,6,1,A,837.738490,72584,5570548be961c99cc91ecc9f8673b17f535423ac629397f9b3cb6f64589fa0b9
declarations,AA,6,2,A,831.336191,72460,5570548be961c99cc91ecc9f8673b17f535423ac629397f9b3cb6f64589fa0b9
declarations,ABBA,1,1,A,828.108527,72456,5570548be961c99cc91ecc9f8673b17f535423ac629397f9b3cb6f64589fa0b9
declarations,ABBA,1,2,B,841.056265,62344,5570548be961c99cc91ecc9f8673b17f535423ac629397f9b3cb6f64589fa0b9
declarations,ABBA,1,3,B,818.469690,62360,5570548be961c99cc91ecc9f8673b17f535423ac629397f9b3cb6f64589fa0b9
declarations,ABBA,1,4,A,829.732489,72564,5570548be961c99cc91ecc9f8673b17f535423ac629397f9b3cb6f64589fa0b9
declarations,ABBA,2,1,A,840.222571,72480,5570548be961c99cc91ecc9f8673b17f535423ac629397f9b3cb6f64589fa0b9
