# Frozen single-binary A/A evidence; no A/B optimization claim.
metric,value
binary_sha256,f67c008c9a32daaa40f2261a66839020b59c51abc62c14f7e76283bee21bc882
input_sha256,d6af4e9dfbf32b0fad059a28ebf64ae2dbfa3540cf66dca1f1b1bb2a1cdb1d14
input_bytes,1256614
output_sha256,5570548be961c99cc91ecc9f8673b17f535423ac629397f9b3cb6f64589fa0b9
output_bytes,2216756
compiler_text_bytes,698566
flags,g++ -std=gnu++11 -Wall -O3; cppgm++ --emit-types
cpu_affinity,0
generated_program_runtime,not applicable: PA6 emits no executable

run,wall_seconds,peak_rss_kib,output_sha256
1,0.8536205589771271,72516,5570548be961c99cc91ecc9f8673b17f535423ac629397f9b3cb6f64589fa0b9
2,0.8203803114593029,72604,5570548be961c99cc91ecc9f8673b17f535423ac629397f9b3cb6f64589fa0b9
3,0.8402665294706821,72576,5570548be961c99cc91ecc9f8673b17f535423ac629397f9b3cb6f64589fa0b9
4,0.8524178713560104,72572,5570548be961c99cc91ecc9f8673b17f535423ac629397f9b3cb6f64589fa0b9
5,0.8437644056975842,72568,5570548be961c99cc91ecc9f8673b17f535423ac629397f9b3cb6f64589fa0b9
6,1.0295263323932886,72516,5570548be961c99cc91ecc9f8673b17f535423ac629397f9b3cb6f64589fa0b9
median_wall_seconds,0.848091
wall_range_seconds,0.820380..1.029526
median_peak_rss_kib,72570
rss_range_kib,72516..72604
